국가,기관,발행일,제목,원문,링크,수집일
미국,백악관,2025-01-23,인공 지능 분야에서 미국의 리더십에 대한 장벽 제거,REMOVING BARRIERS TO AMERICAN LEADERSHIP IN ARTIFICIAL INTELLIGENCE,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,2026-02-04
미국,백악관,2025-05-23,국가 안보를 위한 첨단 원자로 기술 배치,DEPLOYING ADVANCED NUCLEAR REACTOR TECHNOLOGIES FOR NATIONAL SECURITY,https://www.whitehouse.gov/presidential-actions/2025/05/deploying-advanced-nuclear-reactor-technologies-for-national-security/,2026-02-04
미국,백악관,2006-06-21,백악관,The White House,https://www.whitehouse.gov/,2026-02-04
미국,DOC,2006-10-20,미국 상무부,U.S. Department of Commerce,https://www.commerce.gov/,2026-02-04
미국,DOC,2015-08-19,소식,News,https://www.commerce.gov/news,2026-02-04
미국,DOC,2018-11-10,일반 언어,Plain language,https://www.commerce.gov/about/policies/plain-language,2026-02-04
미국,NTIA,2023-06-15,AI 책임 정책 접수된 의견,AI Accountability Policy Received Comments,https://www.ntia.gov/issues/artificial-intelligence/stakeholder-engagement/request-for-comments/received-comments,2026-02-04
미국,NTIA,2019-05-22,"미국, 글로벌 AI 원칙 채택에 OECD와 합류",U.S. Joins with OECD in Adopting Global AI Principles,https://www.ntia.gov/blog/us-joins-oecd-adopting-global-ai-principles,2026-02-04
미국,NTIA,2024-03-27,AI 책임 정책 보고서,AI Accountability Policy Report,https://www.ntia.gov/issues/artificial-intelligence/ai-accountability-policy-report,2026-02-04
중국,CAC,2025-09-28,중국-아프리카 사이버 공간 운명공동체 공동 구축 행동 계획(2025-2026),Plan of Actions on Jointly Building a China-Africa Community with a Shared Future in Cyberspace（2025-2026）,https://www.cac.gov.cn/2025-09/28/c_1760606713169654.htm,2026-02-04
중국,CAC,2024-04-03,2024 중국-아프리카 인터넷 개발 및 협력 포럼 의장의 중국-아프리카 AI 협력에 관한 성명,2024 China-Africa Internet Development and Cooperation Forum Chair´s Statement on China-Africa Cooperation on AI,https://www.cac.gov.cn/2024-04/03/c_1713731793842754.htm,2026-02-04
중국,CAC,2025-12-04,디지털 거버넌스에 대한 중국-아세안 협력 심화를 위한 중국의 이니셔티브,China's Initiative on Deepening China-ASEAN Cooperation on Digital Governance,https://www.cac.gov.cn/2025-12/04/c_1766577618173846.htm,2026-02-04
대한민국,과학기술정보통신부,2026-01-29,Press Releases,Press Releases,https://www.msit.go.kr/eng/bbs/view.do;jsessionid=EAyOD98TSflAqeK6K2hVNY_JbDVR3JxmJdBMxiX0.AP_msit_2?sCode=eng&mPid=2&mId=4&bbsSeqNo=42&nttSeqNo=1205,2026-02-04
대한민국,과학기술정보통신부,2026-01-29,Press Releases,Press Releases,https://www.msit.go.kr/eng/bbs/view.do?sCode=eng&mId=4&mPid=2&pageIndex=&bbsSeqNo=42&nttSeqNo=1206&searchOpt=ALL&searchTxt=,2026-02-04
대한민국,과학기술정보통신부,2026-01-14,Press Releases,Press Releases,https://www.msit.go.kr/eng/bbs/view.do?sCode=eng&mId=4&mPid=2&pageIndex=&bbsSeqNo=42&nttSeqNo=1193&searc,2026-02-04
대한민국,산업통상자원부,2025-11-04,"Ministry of Trade, Industry and Energy Homepage","Ministry of Trade, Industry and Energy Homepage",http://english.motie.go.kr/search/search.do?site=eng&kwd=basic+plan&category=c1&reSrchFlag=&currentPage=1&detailSearch=&srchFd=&sort=d&date=&startDate=&endDate=&preCondi=&rowPerPage=10&fdTot=$param.fdTot&fdTitle=$param.fdTitle&fdContent=$param.fdContent&fdFile=$param.fdFile,2026-02-04
싱가포르,MDDI,2026-01-22,중소기업협회(ASME) AI 페스티벌 아시아 2026에서 MOS Jasmin Lau의 개회사,Opening Address by MOS Jasmin Lau at the Association of Small and Medium Enterprises (ASME)’s AI Festival Asia 2026,https://www.mddi.gov.sg/newsroom/opening-address-by-mos-jasmin-lau-at-the-association-of-small-and-medium-enterprises--asme--s-ai-festival-asia-2026/,2026-02-04
싱가포르,MDDI,2026-01-24,싱가포르는 AI 연구 역량과 글로벌 AI 허브로서의 입지를 강화하기 위해 국가 AI 연구 개발 계획에 10억 싱가포르 달러 이상을 투자합니다.,Singapore Invests Over S$1 billion in National AI Research and Development Plan to Strengthen AI Research Capabilities and Our Position as Global AI Hub,https://www.mddi.gov.sg/newsroom/singapore-invests-over-s-1-billion-in-national-ai-research-and-development-plan-to-strengthen-ai-research-capabilities-and-our-position-as-global-ai-hub/,2026-02-04
싱가포르,MDDI,2026-01-24,싱가포르 AI 연구 주간 갈라 디너에서 Josephine Teo 장관의 개회사,Opening Remarks by Minister Josephine Teo at Singapore AI Research Week Gala Dinner,https://www.mddi.gov.sg/newsroom/opening-remarks-by-minister-josephine-teo-at-singapore-ai-research-week-gala-dinner/,2026-02-04
싱가포르,IMDA,2026-01-22,"싱가포르, Agentic AI를 위한 새로운 모델 AI 거버넌스 프레임워크 출시",Singapore Launches New Model AI Governance Framework for Agentic AI,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/new-model-ai-governance-framework-for-agentic-ai,2026-02-04
싱가포르,IMDA,2026-01-22,기술 향상을 통해 AI 혁신을 촉진하는 방법,How Upskilling Talent Powers AI Transformation,https://www.imda.gov.sg/resources/blog/blog-articles/2026/01/how-upskilling-talent-powers-ai-transformation,2026-02-04
싱가포르,IMDA,2026-01-19,에이전트 AI를 위한 모델 AI 거버넌스 프레임워크,MODEL AI GOVERNANCE FRAMEWORK FOR AGENTIC AI,https://www.imda.gov.sg/-/media/imda/files/about/emerging-tech-and-research/artificial-intelligence/mgf-for-agentic-ai.pdf,2026-02-04
독일,BMWK,2022-01-18,연방경제기후보호부(BMWK),Bundesministerium für Wirtschaft und Klimaschutz (BMWK),https://www.bmwk.de/,2026-02-04
일본,MIC,2025-12-10,ICT × 일본,ICT × Japan,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/newsletter/pdf/vol36/no11.pdf,2026-02-04
일본,MIC,2025-12-22,제9회 자동번역심포지엄 AI번역으로 일본을 세계로,The 9th Automatic Translation Symposium: Bringing Japan to the World through AI Translation,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/pressrelease/2025/12/22_1.html,2026-02-04
일본,MIC,2025-12-22,ICT × 일본,ICT × Japan,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/newsletter/pdf/vol36/no12.pdf,2026-02-04
